,correct_name,dec,dir_name,file_name,fits_dec,fits_ra,group,object,ra,wrong_name
906,BU Tau,24.15575,28tau,mh250037.fits,24:09:20.7,3:49:15.3,8,BU Tau,57.31375,
907,BU Tau,24.1535833333,28tau,mh250038.fits,24:09:12.9,3:49:15.5,8,BU Tau,57.3145833333,
908,BU Tau,24.1592777778,28tau,mi160048.fits,24:09:33.4,3:49:07.1,8,BU Tau,57.2795833333,
909,BU Tau,24.1498888889,28tau,mk050049.fits,24:08:59.6,3:49:13.4,8,BU Tau,57.3058333333,
910,BU Tau,24.1499166667,28tau,mk050050.fits,24:08:59.7,3:49:13.6,8,BU Tau,57.3066666667,
911,BU Tau,24.1499166667,28tau,mk050051.fits,24:08:59.7,3:49:13.7,8,BU Tau,57.3070833333,
912,BU Tau,24.1424166667,28tau,na240026.fits,24:08:32.7,3:49:29.9,8,BU Tau,57.3745833333,
913,BU Tau,24.1315277778,28tau,nb120024.fits,24:07:53.5,3:49:31.9,8,BU Tau,57.3829166667,
914,BU Tau,24.1393333333,28tau,nc170023.fits,24:08:21.6,3:49:39.7,8,BU Tau,57.4154166667,
915,BU Tau,24.1419166667,28tau,nc170024.fits,24:08:30.9,3:49:40.8,8,BU Tau,57.42,
916,BU Tau,24.1428055556,28tau,pb240027.fits,24:08:34.1,3:49:41.1,8,BU Tau,57.42125,
917,BU Tau,24.1565833333,28tau,pc240019.fits,24:09:23.7,3:49:33.9,8,BU Tau,57.39125,
918,BU Tau,24.1410277778,28tau,rc110014.fits,24:08:27.70,03:49:11.587,8,BU Tau,57.2982791667,
919,BU Tau,24.1366944444,28tau,sb090012.fits,+24:08:12.10,03:49:11.220,8,BU Tau,57.29675,
920,BU Tau,24.1366944444,28tau,sb090013.fits,+24:08:12.10,03:49:11.220,8,BU Tau,57.29675,
921,BU Tau,24.1366944444,28tau,sj070045.fits,+24:08:12.10,03:49:11.220,8,BU Tau,57.29675,
922,BU Tau,24.1366944444,28tau,tc180014.fits,+24:08:12.10,03:49:11.220,8,BU Tau,57.29675,
923,BU Tau,24.1366944444,28tau,tc240014.fits,+24:08:12.10,03:49:11.220,8,BU Tau,57.29675,
924,BU Tau,24.1366944444,28tau,tg210068.fits,+24:08:12.10,03:49:11.220,8,BU Tau,57.29675,
925,BU Tau,24.13475,28tau,tj070025.fits,+24:08:05.10,03:49:09.567,8,BU Tau,57.2898625,
926,BU Tau,24.1366944444,28tau,tj310031.fits,+24:08:12.10,03:49:11.220,8,BU Tau,57.29675,
927,BW Boo,35.8733888889,bwboo,qd260031.fits,35:52:24.2,14:37:10.1,5,BW Boo,219.292083333,
928,BW Boo,35.8764166667,bwboo,qd270019.fits,35:52:35.1,14:37:09.1,5,BW Boo,219.287916667,
929,BW Boo,35.8763333333,bwboo,qd270020.fits,35:52:34.8,14:37:09.2,5,BW Boo,219.288333333,
930,BW Boo,35.8782777778,bwboo,qd280014.fits,35:52:41.8,14:37:09.1,5,BW Boo,219.287916667,
931,BW Boo,35.9246666667,bwboo,qe180012.fits,35:55:28.8,14:36:54.7,5,BW Boo,219.227916667,
932,BW Boo,35.8733888889,bwboo,qf140010.fits,35:52:24.2,14:37:10.9,5,BW Boo,219.295416667,
933,BW Boo,35.92975,bwboo,sd020025.fits,+35:55:47.10,14:37:08.807,5,BW Boo,219.286695833,
934,BW Boo,35.92975,bwboo,tc180030.fits,+35:55:47.10,14:37:08.807,5,BW Boo,219.286695833,
935,BW Boo,35.92975,bwboo,td080021.fits,+35:55:47.10,14:37:08.807,5,BW Boo,219.286695833,
936,BW Boo,35.92975,bwboo,td290014.fits,+35:55:47.10,14:37:08.807,5,BW Boo,219.286695833,
937,   BW Boo,35.92975,bwboo,uc010039.fits,+35:55:47.10,14:37:08.807,5,BWBoo,219.286695833,BWBoo
938,   BW Boo,35.92975,bwboo,uc020042.fits,+35:55:47.10,14:37:08.807,5,BWBoo,219.286695833,BWBoo
939,Bet Lyr,33.3696944444,betlyr,mh100029.fits,33:22:10.9,18:50:17.2,8,Bet Lyr,282.571666667,
940,Bet Lyr,33.3696666667,betlyr,mh100030.fits,33:22:10.8,18:50:17.2,8,Bet Lyr,282.571666667,
941,Bet Lyr,33.3635555556,betlyr,mj190002.fits,33:21:48.8,18:50:05.0,8,Bet Lyr,282.520833333,
942,Bet Lyr,33.3635277778,betlyr,mj190003.fits,33:21:48.7,18:50:05.8,8,Bet Lyr,282.524166667,
943,Bet Lyr,33.3627777778,betlyr,re240013.fits,+33:21:46.00,18:50:04.000,8,Bet Lyr,282.516666667,
944,Bet Lyr,33.3627777778,betlyr,re240014.fits,+33:21:46.00,18:50:04.000,8,Bet Lyr,282.516666667,
945,Bet Lyr,33.3627777778,betlyr,re240015.fits,+33:21:46.00,18:50:04.000,8,Bet Lyr,282.516666667,
946,BetLyr,33.366,betlyr,mi150022.fits,33:21:57.6,18:50:11.5,8,BetLyr,282.547916667,
947,BetLyr,33.3659722222,betlyr,mi150023.fits,33:21:57.5,18:50:11.5,8,BetLyr,282.547916667,
948,BetLyr,33.3659166667,betlyr,mi260002.fits,33:21:57.3,18:50:08.5,8,BetLyr,282.535416667,
949,BetLyr,33.3661111111,betlyr,mi260003.fits,33:21:58.0,18:50:08.4,8,BetLyr,282.535,
950,BetLyr,33.3664444444,betlyr,mi260004.fits,33:21:59.2,18:50:08.8,8,BetLyr,282.536666667,
951,Beta Lyr,33.3608333333,betlyr,mj280002.fits,33:21:39.0,18:50:04.6,8,Beta Lyr,282.519166667,
952, Bet Lyr,33.3626666667,betlyr,tg270016.fits,+33:21:45.60,18:50:04.787,8,BetaLyr,282.519945833,BetaLyr
953,CH Cyg,50.2414166667,chcyg,sh270013.fits,+50:14:29.10,19:24:33.067,8,CH Cyg,291.137779167,
954,CH Cyg,50.2414166667,chcyg,sh270014.fits,+50:14:29.10,19:24:33.067,8,CH Cyg,291.137779167,
955,CH Cyg,50.2414166667,chcyg,si220015.fits,+50:14:29.10,19:24:33.067,8,CH Cyg,291.137779167,
956,CH Cyg,50.2414166667,chcyg,tg140022.fits,+50:14:29.10,19:24:33.067,8,CH Cyg,291.137779167,
957,CH Cyg,50.2414166667,chcyg,th250010.fits,+50:14:29.10,19:24:33.067,8,CH Cyg,291.137779167,
958,CH Cyg,50.2414166667,chcyg,vc220035.fits,+50:14:29.10,19:24:33.067,8,CH Cyg,291.137779167,
959,CI Cam,56.0072777778,cicam,nh040026.fits,56:00:26.2,4:19:44.4,8,CI Cam,64.935,
960,CI Cam,55.9997222222,cicam,ni080039.fits,55:59:59.0,4:19:42.2,8,CI Cam,64.9258333333,
961,CI Cam,55.4554444444,cicam,nj240068.fits,55:27:19.6,4:30:36.1,8,CI Cam,67.6504166667,
962,CI Cam,55.9997222222,cicam,ui300025.fits,+55:59:59.00,04:19:42.200,8,CI Cam,64.9258333333,
963,CI Cyg,35.6841666667,cicyg,ri180016.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
964,CI Cyg,35.6841666667,cicyg,ri180018.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
965,CI Cyg,35.6841666667,cicyg,rj230012.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
966,CI Cyg,35.6841666667,cicyg,sh200018.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
967,CI Cyg,35.6841666667,cicyg,sh270016.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
968,CI Cyg,35.6841666667,cicyg,tf100031.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
969,CI Cyg,35.6841666667,cicyg,tg130022.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
970,CI Cyg,35.6841666667,cicyg,tg130029.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
971,CI Cyg,35.6841666667,cicyg,th250014.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
972,CI Cyg,35.6841666667,cicyg,tj210011.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
973,CI Cyg,35.6841666667,cicyg,tj280015.fits,+35:41:03.00,19:50:11.800,8,CI Cyg,297.549166667,
974,CQ UMa,57.1846388889,cquma,md110016.fits,57:11:04.7,13:40:32.7,5,CQ UMa,205.13625,
975,CQ UMa,57.1864722222,cquma,md160014.fits,57:11:11.3,13:40:30.3,5,CQ UMa,205.12625,
976,CQ UMa,57.2043055556,cquma,mj270038.fits,57:12:15.5,13:40:31.6,5,CQ UMa,205.131666667,
977,CQ UMa,57.1384444444,cquma,nd160046.fits,57:08:18.4,13:40:56.5,5,CQ UMa,205.235416667,
978,CQ UMa,57.1371388889,cquma,nd160047.fits,57:08:13.7,13:40:57.2,5,CQ UMa,205.238333333,
979,CQ UMa,69.7445833333,cquma,oc210031.fits,69:44:40.5,12:34:18.4,5,CQ UMa,188.576666667,
980,CQ UMa,69.7445833333,cquma,oc210032.fits,69:44:40.5,12:34:18.4,5,CQ UMa,188.576666667,
981,CQ UMa,57.1878333333,cquma,oc240011.fits,57:11:16.2,13:40:44.3,5,CQ UMa,205.184583333,
982,CQ UMa,-6.9675,cquma,pa080049.fits,-6:58:03.0,6:51:34.0,5,CQ UMa,102.891666667,
983,CQ UMa,-6.9675,cquma,pa080050.fits,-6:58:03.0,6:51:34.0,5,CQ UMa,102.891666667,
984,CQ Uma,57.1588333333,cquma,nd020021.fits,57:09:31.8,13:40:55.4,5,CQ Uma,205.230833333,
985,CQUMa,57.2030277778,cquma,mk030026.fits,57:12:10.9,13:40:29.4,5,CQUMa,205.1225,
986,CQUMa,57.1998888889,cquma,mk030027.fits,57:11:59.6,13:40:29.7,5,CQUMa,205.12375,
987,CQUMa,57.1504722222,cquma,nc100002.fits,57:09:01.7,13:40:58.9,5,CQUMa,205.245416667,
988,CQUMa,57.1503888889,cquma,nc100003.fits,57:09:01.4,13:40:59.3,5,CQUMa,205.247083333,
989,CRL 2688,36.6936111111,v1610cyg,ui040004.fits,+36:41:37.00,21:02:18.267,0,CRL 2688,315.5761125,
990,CT Cam,55.1708333333,ctcam,uj140039.fits,+55:10:15.00,03:38:01.040,9,CT Cam,54.5043333333,
991,CX Dra,52.9773055556,cxdra,pd250052.fits,52:58:38.3,18:45:35.3,8,CX Dra,281.397083333,
992,CX Dra,52.9766111111,cxdra,pd250053.fits,52:58:35.8,18:45:35.2,8,CX Dra,281.396666667,
993,CX Dra,52.9926388889,cxdra,pe020013.fits,52:59:33.5,18:45:34.1,8,CX Dra,281.392083333,
994,CX Dra,53.0022222222,cxdra,pe040022.fits,53:00:08.0,18:46:59.7,8,CX Dra,281.74875,
995,CX Dra,53.0279722222,cxdra,pe050007.fits,53:01:40.7,18:46:13.3,8,CX Dra,281.555416667,
996,CX Dra,52.9952777778,cxdra,pe060019.fits,52:59:43.0,18:46:52.0,8,CX Dra,281.716666667,
997,CX Dra,52.9952777778,cxdra,pe060022.fits,52:59:43.0,18:46:52.0,8,CX Dra,281.716666667,
998,CX Dra,53.0338333333,cxdra,pe190024.fits,53:02:01.8,18:46:47.4,8,CX Dra,281.6975,
999,CX Dra,53.0329166667,cxdra,pe190025.fits,53:01:58.5,18:46:47.6,8,CX Dra,281.698333333,
1000,CX Dra,52.9926666667,cxdra,pf100028.fits,52:59:33.6,18:46:55.8,8,CX Dra,281.7325,
1001,CX Dra,52.9653333333,cxdra,pf110017.fits,52:57:55.2,18:47:10.5,8,CX Dra,281.79375,
1002,CX Dra,52.9691666667,cxdra,pf120008.fits,52:58:09.0,18:46:56.8,8,CX Dra,281.736666667,
1003,CX Dra,52.9836111111,cxdra,pf140017.fits,52:59:01.0,18:46:59.8,8,CX Dra,281.749166667,
1004,CX Dra,52.9836111111,cxdra,pf140018.fits,52:59:01.0,18:46:59.9,8,CX Dra,281.749583333,
1005,CX Dra,52.9889722222,cxdra,pg110043.fits,52:59:20.3,18:47:07.0,8,CX Dra,281.779166667,
1006,CX Dra,52.9888611111,cxdra,pg110044.fits,52:59:19.9,18:47:07.3,8,CX Dra,281.780416667,
1007,CX Dra,52.9944722222,cxdra,pg130015.fits,52:59:40.1,18:47:00.4,8,CX Dra,281.751666667,
1008,CX Dra,52.99375,cxdra,pg130016.fits,52:59:37.5,18:47:00.7,8,CX Dra,281.752916667,
1009,CX Dra,52.9900833333,cxdra,pg160044.fits,52:59:24.3,18:47:07.8,8,CX Dra,281.7825,
1010,CX Dra,52.9901111111,cxdra,pg160045.fits,52:59:24.4,18:47:08.3,8,CX Dra,281.784583333,
1011,CX Dra,52.9903888889,cxdra,pg170042.fits,52:59:25.4,18:47:07.2,8,CX Dra,281.78,
1012,CX Dra,53.0303611111,cxdra,pg180017.fits,53:01:49.3,18:47:59.0,8,CX Dra,281.995833333,
1013,CX Dra,53.0316944444,cxdra,pg190017.fits,53:01:54.1,18:47:48.8,8,CX Dra,281.953333333,
1014,CX Dra,52.9727777778,cxdra,pg200029.fits,52:58:22.0,18:46:38.5,8,CX Dra,281.660416667,
1015,CX Dra,53.0521111111,cxdra,pg210012.fits,53:03:07.6,18:47:44.9,8,CX Dra,281.937083333,
1016,CX Dra,53.0270833333,cxdra,pg220013.fits,53:01:37.5,18:47:48.3,8,CX Dra,281.95125,
1017,CX Dra,52.9679444444,cxdra,pg230012.fits,52:58:04.6,18:46:47.2,8,CX Dra,281.696666667,
1018,CX Dra,52.9708055556,cxdra,pg240013.fits,52:58:14.9,18:46:46.3,8,CX Dra,281.692916667,
1019,CX Dra,53.0087222222,cxdra,pg250012.fits,53:00:31.4,18:46:47.4,8,CX Dra,281.6975,
1020,CX Dra,52.9570555556,cxdra,pg260028.fits,52:57:25.4,18:47:14.6,8,CX Dra,281.810833333,
1021,CX Dra,52.9648055556,cxdra,pg270003.fits,52:57:53.3,18:46:51.5,8,CX Dra,281.714583333,
1022,CX Dra,52.9748055556,cxdra,pg300002.fits,52:58:29.3,18:46:46.6,8,CX Dra,281.694166667,
1023,CX Dra,52.9905,cxdra,ph150021.fits,52:59:25.8,18:47:02.3,8,CX Dra,281.759583333,
1024,CX Dra,52.9907777778,cxdra,ph230017.fits,52:59:26.8,18:47:03.4,8,CX Dra,281.764166667,
1025,CX Dra,52.9800555556,cxdra,pi080048.fits,52:58:48.2,18:47:03.0,8,CX Dra,281.7625,
1026,CX Dra,52.9681111111,cxdra,pi100007.fits,52:58:05.2,18:46:51.1,8,CX Dra,281.712916667,
1027,CX Dra,52.9680833333,cxdra,pi100008.fits,52:58:05.1,18:46:51.0,8,CX Dra,281.7125,
1028,CX Dra,52.9680277778,cxdra,pi100009.fits,52:58:04.9,18:46:51.5,8,CX Dra,281.714583333,
1029,CX Dra,52.97675,cxdra,pi110020.fits,52:58:36.3,18:47:18.3,8,CX Dra,281.82625,
1030,CX Dra,52.989,cxdra,pi120014.fits,52:59:20.4,18:46:55.7,8,CX Dra,281.732083333,
1031,CX Dra,52.9890833333,cxdra,pi130013.fits,52:59:20.7,18:46:53.1,8,CX Dra,281.72125,
1032,CX Dra,53.00525,cxdra,pi140013.fits,53:00:18.9,18:47:40.1,8,CX Dra,281.917083333,
1033,CX Dra,53.0055,cxdra,pi140014.fits,53:00:19.8,18:47:40.6,8,CX Dra,281.919166667,
1034,CX Dra,52.9896111111,cxdra,pi170002.fits,52:59:22.6,18:46:55.5,8,CX Dra,281.73125,
1035,CX Dra,52.9901388889,cxdra,pi170004.fits,52:59:24.5,18:46:56.7,8,CX Dra,281.73625,
1036,CX Dra,53.0045555556,cxdra,pi210021.fits,53:00:16.4,18:46:58.0,8,CX Dra,281.741666667,
1037,CX Dra,53.0039722222,cxdra,pi220016.fits,53:00:14.3,18:46:55.2,8,CX Dra,281.73,
1038,CX Dra,53.0056666667,cxdra,pi220018.fits,53:00:20.4,18:46:58.6,8,CX Dra,281.744166667,
1039,CX Dra,52.9879722222,cxdra,pi240039.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1040,CX Dra,52.9879722222,cxdra,pi250016.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1041,CX Dra,53.0088888889,cxdra,pi260018.fits,53:00:32.0,18:46:58.2,8,CX Dra,281.7425,
1042,CX Dra,52.9951111111,cxdra,pj050024.fits,52:59:42.4,18:46:55.1,8,CX Dra,281.729583333,
1043,CX Dra,52.9671666667,cxdra,pj090009.fits,52:58:01.8,18:47:16.1,8,CX Dra,281.817083333,
1044,CX Dra,52.9666666667,cxdra,pj100019.fits,52:58:00.0,18:47:16.3,8,CX Dra,281.817916667,
1045,CX Dra,52.96425,cxdra,pj110012.fits,52:57:51.3,18:47:13.9,8,CX Dra,281.807916667,
1046,CX Dra,52.9515,cxdra,pj130018.fits,52:57:05.4,18:47:00.7,8,CX Dra,281.752916667,
1047,CX Dra,52.9623333333,cxdra,pj160023.fits,52:57:44.4,18:47:10.6,8,CX Dra,281.794166667,
1048,CX Dra,53.0061944444,cxdra,pk070007.fits,53:00:22.3,18:46:55.8,8,CX Dra,281.7325,
1049,CX Dra,52.9854444444,cxdra,qj050020.fits,52:59:07.6,18:46:55.0,8,CX Dra,281.729166667,
1050,CX Dra,52.9843333333,cxdra,qj100006.fits,52:59:03.6,18:46:52.8,8,CX Dra,281.72,
1051,CX Dra,52.9859444444,cxdra,qj100008.fits,52:59:09.4,18:46:54.4,8,CX Dra,281.726666667,
1052,CX Dra,52.9676666667,cxdra,qj140014.fits,52:58:03.6,18:46:59.2,8,CX Dra,281.746666667,
1053,CX Dra,52.9743611111,cxdra,qj150033.fits,52:58:27.7,18:46:59.7,8,CX Dra,281.74875,
1054,CX Dra,52.992,cxdra,rc090037.fits,52:59:31.20,18:46:44.920,8,CX Dra,281.687166667,
1055,CX Dra,52.9880555556,cxdra,rc300020.fits,+52:59:17.00,18:46:43.000,8,CX Dra,281.679166667,
1056,CX Dra,52.9880555556,cxdra,rc310014.fits,+52:59:17.00,18:46:43.000,8,CX Dra,281.679166667,
1057,CX Dra,52.9879444444,cxdra,re080048.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1058,CX Dra,52.9879444444,cxdra,re080049.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1059,CX Dra,52.9879444444,cxdra,rf050014.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1060,CX Dra,52.9879444444,cxdra,rf090012.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1061,CX Dra,52.9879444444,cxdra,rf210016.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1062,CX Dra,52.9879444444,cxdra,rf230017.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1063,CX Dra,52.9879444444,cxdra,rf230027.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1064,CX Dra,52.9879444444,cxdra,rf230034.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1065,CX Dra,52.9879444444,cxdra,rf230035.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1066,CX Dra,52.9879444444,cxdra,rf230039.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1067,CX Dra,52.9879444444,cxdra,rf230051.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1068,CX Dra,52.9879444444,cxdra,rf230052.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1069,CX Dra,52.9879722222,cxdra,rf270032.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1070,CX Dra,52.9879722222,cxdra,rf270033.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1071,CX Dra,52.9879722222,cxdra,rf270052.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1072,CX Dra,52.9879722222,cxdra,rf270054.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1073,CX Dra,52.9879722222,cxdra,rf270061.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1074,CX Dra,52.9879722222,cxdra,rf280042.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1075,CX Dra,52.9879722222,cxdra,rf280043.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1076,CX Dra,52.9879722222,cxdra,rf280050.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1077,CX Dra,52.9879722222,cxdra,rf290042.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1078,CX Dra,52.9879722222,cxdra,rf290043.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1079,CX Dra,52.9879722222,cxdra,rf290053.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1080,CX Dra,52.9879722222,cxdra,rf300008.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1081,CX Dra,52.9879722222,cxdra,rf300015.fits,52:59:16.7,18:46:43.1,8,CX Dra,281.679583333,
1082,CX Dra,52.9880555556,cxdra,rf300019.fits,+52:59:17.00,18:46:43.000,8,CX Dra,281.679166667,
1083,CX Dra,52.9879444444,cxdra,rg070014.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1084,CX Dra,52.9879444444,cxdra,rg280011.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1085,CX Dra,52.9879444444,cxdra,rg280017.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1086,CX Dra,52.9879444444,cxdra,rg280027.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1087,CX Dra,52.9879444444,cxdra,rg280031.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1088,CX Dra,52.9879444444,cxdra,rj170018.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1089,CX Dra,52.9879444444,cxdra,rj190046.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1090,CX Dra,52.9879444444,cxdra,rj200028.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1091,CX Dra,52.9879444444,cxdra,rj210033.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1092,CX Dra,52.9879444444,cxdra,rj210036.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1093,CX Dra,52.9879444444,cxdra,sd100009.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1094,CX Dra,52.9879444444,cxdra,sd120009.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1095,CX Dra,52.9879444444,cxdra,sd150016.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1096,CX Dra,53.0233055556,cxdra,sd160008.fits,+53:01:23.90,18:46:42.907,8,CX Dra,281.678779167,
1097,CX Dra,52.9917777778,cxdra,sd160010.fits,+52:59:30.40,18:46:42.973,8,CX Dra,281.679054167,
1098,CX Dra,52.9917777778,cxdra,sd160012.fits,+52:59:30.40,18:46:42.973,8,CX Dra,281.679054167,
1099,CX Dra,52.9917777778,cxdra,sd160014.fits,+52:59:30.40,18:46:42.973,8,CX Dra,281.679054167,
1100,CX Dra,52.9879444444,cxdra,td050007.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1101,CX Dra,52.9879444444,cxdra,te080010.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1102,CX Dra,52.9879444444,cxdra,tf040007.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1103,CX Dra,52.9879444444,cxdra,tf040008.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1104,CX Dra,52.9879444444,cxdra,tj080019.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1105,CX Dra,52.9879444444,cxdra,tj080020.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1106,CX Dra,52.9879444444,cxdra,ub060062.fits,+52:59:16.60,18:46:43.087,8,CX Dra,281.679529167,
1107,CXDra,52.9879444444,cxdra,tg270018.fits,+52:59:16.60,18:46:43.087,8,CXDra,281.679529167,
1108,Chi Aur,32.192,chiaur,vb010041.fits,+32:11:31.20,05:32:43.667,8,Chi Aur,83.1819458333,
1109,Cyg X 1,35.2047222222,cygX-1,mh260026.fits,35:12:17.0,19:58:28.5,8,Cyg X 1,299.61875,
1110,Cyg X 1,35.2047777778,cygX-1,mh260027.fits,35:12:17.2,19:58:28.8,8,Cyg X 1,299.62,
1111,Cyg X-1,35.2081666667,cygX-1,mc310051.fits,35:12:29.4,19:58:22.6,8,Cyg X-1,299.594166667,
1112,Cyg X-1,35.2100833333,cygX-1,md160030.fits,35:12:36.3,19:58:19.9,8,Cyg X-1,299.582916667,
1113,Cyg X-1,35.2046111111,cygX-1,mg200037.fits,35:12:16.6,19:58:23.5,8,Cyg X-1,299.597916667,
1114,Cyg X-1,35.2115277778,cygX-1,mg250027.fits,35:12:41.5,19:58:28.4,8,Cyg X-1,299.618333333,
1115,Cyg X-1,35.2096666667,cygX-1,mh080032.fits,35:12:34.8,19:58:31.4,8,Cyg X-1,299.630833333,
1116,Cyg X-1,35.2103611111,cygX-1,mh080033.fits,35:12:37.3,19:58:32.6,8,Cyg X-1,299.635833333,
1117,Cyg X-1,35.2114166667,cygX-1,mh080034.fits,35:12:41.1,19:58:33.8,8,Cyg X-1,299.640833333,
1118,Cyg X-1,35.2101388889,cygX-1,mh090022.fits,35:12:36.5,19:58:31.5,8,Cyg X-1,299.63125,
1119,Cyg X-1,35.2107777778,cygX-1,mh100032.fits,35:12:38.8,19:58:33.2,8,Cyg X-1,299.638333333,
1120,Cyg X-1,35.2109444444,cygX-1,mh100033.fits,35:12:39.4,19:58:33.5,8,Cyg X-1,299.639583333,
1121,Cyg X-1,35.2056388889,cygX-1,mh220019.fits,35:12:20.3,19:58:29.8,8,Cyg X-1,299.624166667,
1122,Cyg X-1,35.2060833333,cygX-1,mh220020.fits,35:12:21.9,19:58:30.8,8,Cyg X-1,299.628333333,
1123,Cyg X-1,35.2071388889,cygX-1,mh220021.fits,35:12:25.7,19:58:31.9,8,Cyg X-1,299.632916667,
1124,Cyg X-1,35.2084722222,cygX-1,mh220022.fits,35:12:30.5,19:58:33.3,8,Cyg X-1,299.63875,
1125,Cyg X-1,35.2148611111,cygX-1,mi150034.fits,35:12:53.5,19:58:23.4,8,Cyg X-1,299.5975,
1126,Cyg X-1,35.1888611111,cygX-1,mi180033.fits,35:11:19.9,19:58:41.6,8,Cyg X-1,299.673333333,
1127,Cyg X-1,35.1916111111,cygX-1,mi200026.fits,35:11:29.8,19:58:46.2,8,Cyg X-1,299.6925,
1128,Cyg X-1,35.1931944444,cygX-1,mi200027.fits,35:11:35.5,19:58:47.2,8,Cyg X-1,299.696666667,
1129,Cyg X-1,35.1939166667,cygX-1,mi210044.fits,35:11:38.1,19:58:47.8,8,Cyg X-1,299.699166667,
1130,Cyg X-1,35.19775,cygX-1,nd110062.fits,35:11:51.9,19:58:24.1,8,Cyg X-1,299.600416667,
1131,Cyg X-1,35.2164722222,cygX-1,nh080031.fits,35:12:59.3,19:58:26.3,8,Cyg X-1,299.609583333,
1132,Cyg X-1,35.2158333333,cygX-1,nh240012.fits,35:12:57.0,19:58:26.1,8,Cyg X-1,299.60875,
1133,Cyg X-1,35.2155,cygX-1,nh240013.fits,35:12:55.8,19:58:26.3,8,Cyg X-1,299.609583333,
1134,Cyg X-1,35.1956944444,cygX-1,nj240022.fits,35:11:44.5,19:58:17.3,8,Cyg X-1,299.572083333,
1135,Cyg X-1,35.1960555556,cygX-1,nj240023.fits,35:11:45.8,19:58:17.6,8,Cyg X-1,299.573333333,
